,value,Open,High,Low,Close,Adj Close,Volume,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,ATR,predictions,Signal
2022-11-30,29,16445.4765625,17190.9375,16445.4765625,17168.56640625,17168.56640625,29523576583,26,28,26,22,20,16444.982421875,16217.322265625,16444.626953125,16464.28125,16521.841796875,745.4609375,18758.998,1
2022-12-01,27,17168.001953125,17197.498046875,16888.388671875,16967.1328125,16967.1328125,22895392882,29,26,28,26,22,17168.56640625,16444.982421875,16217.322265625,16444.626953125,16464.28125,527.28515625,18767.338,1
2022-12-02,27,16968.68359375,17088.66015625,16877.880859375,17088.66015625,17088.66015625,19539705127,27,29,26,28,26,16967.1328125,17168.56640625,16444.982421875,16217.322265625,16444.626953125,421.783203125,18801.74,1
2022-12-03,27,17090.09765625,17116.041015625,16888.140625,16908.236328125,16908.236328125,16217776704,27,27,29,26,28,17088.66015625,16967.1328125,17168.56640625,16444.982421875,16217.322265625,373.3125,18676.605,1
2022-12-04,26,16908.169921875,17157.767578125,16903.439453125,17130.486328125,17130.486328125,16824520830,27,27,27,29,26,16908.236328125,17088.66015625,16967.1328125,17168.56640625,16444.982421875,349.515625,18816.701,1
2022-12-05,26,17128.89453125,17378.15234375,16922.431640625,16974.826171875,16974.826171875,22209086834,26,27,27,27,29,17130.486328125,16908.236328125,17088.66015625,16967.1328125,17168.56640625,367.2164713541667,18900.107,1
2022-12-06,25,16975.23828125,17091.86328125,16939.921875,17089.50390625,17089.50390625,19889922369,26,26,27,27,27,16974.826171875,17130.486328125,16908.236328125,17088.66015625,16967.1328125,336.462890625,18865.285,1
2022-12-07,29,17089.505859375,17109.376953125,16750.55859375,16848.126953125,16848.126953125,19675404389,25,26,26,27,27,17089.50390625,16974.826171875,17130.486328125,16908.236328125,17088.66015625,339.25732421875,18740.58,1
2022-12-08,25,16847.349609375,17267.916015625,16788.783203125,17233.474609375,17233.474609375,20496603770,29,25,26,26,27,16848.126953125,17089.50390625,16974.826171875,17130.486328125,16908.236328125,354.7990451388889,18932.264,1
2022-12-09,26,17232.1484375,17280.546875,17100.8359375,17133.15234375,17133.15234375,20328426366,25,29,25,26,26,17233.474609375,16848.126953125,17089.50390625,16974.826171875,17130.486328125,337.290234375,19020.81,1
2022-12-10,27,17134.220703125,17216.826171875,17120.68359375,17128.724609375,17128.724609375,12706781969,26,25,29,25,26,17133.15234375,17233.474609375,16848.126953125,17089.50390625,16974.826171875,315.36772017045456,18865.125,1
2022-12-11,26,17129.7109375,17245.634765625,17091.8203125,17104.193359375,17104.193359375,14122486832,27,26,25,29,25,17128.724609375,17133.15234375,17233.474609375,16848.126953125,17089.50390625,301.9049479166667,18905.28,1
2022-12-12,27,17102.5,17212.564453125,16899.39453125,17206.4375,17206.4375,19617581341,26,27,26,25,29,17104.193359375,17128.724609375,17133.15234375,17233.474609375,16848.126953125,302.771484375,18992.066,1
2022-12-13,27,17206.44140625,17930.0859375,17111.763671875,17781.318359375,17781.318359375,26634741631,27,26,27,26,25,17206.4375,17104.193359375,17128.724609375,17133.15234375,17233.474609375,339.59654017857144,19538.668,1
2022-12-14,30,17782.06640625,18318.53125,17739.513671875,17815.650390625,17815.650390625,25534481470,27,27,26,27,26,17781.318359375,17206.4375,17104.193359375,17128.724609375,17133.15234375,327.70772879464283,19865.557,1
2022-12-15,31,17813.64453125,17846.744140625,17322.58984375,17364.865234375,17364.865234375,20964448341,30,27,27,26,27,17815.650390625,17781.318359375,17206.4375,17104.193359375,17128.724609375,343.06808035714283,19472.984,1
2022-12-16,29,17364.546875,17505.525390625,16584.701171875,16647.484375,16647.484375,24031608960,31,30,27,27,26,17364.865234375,17815.650390625,17781.318359375,17206.4375,17104.193359375,393.7855747767857,18882.77,1
2022-12-17,28,16646.982421875,16800.58984375,16614.029296875,16795.091796875,16795.091796875,14463581825,29,31,30,27,27,16647.484375,17364.865234375,17815.650390625,17781.318359375,17206.4375,390.83272879464283,18530.79,1
2022-12-18,26,16795.609375,16815.38671875,16697.8203125,16757.9765625,16757.9765625,10924354698,28,29,31,30,27,16795.091796875,16647.484375,17364.865234375,17815.650390625,17781.318359375,381.0640345982143,18425.107,1
2022-12-19,29,16759.041015625,16807.52734375,16398.13671875,16439.6796875,16439.6796875,17221074814,26,28,29,31,30,16757.9765625,16795.091796875,16647.484375,17364.865234375,17815.650390625,377.75474330357144,18272.527,1
2022-12-20,29,16441.787109375,17012.984375,16427.8671875,16906.3046875,16906.3046875,22722096615,29,26,28,29,31,16439.6796875,16757.9765625,16795.091796875,16647.484375,17364.865234375,408.6958705357143,18540.33,1
2022-12-21,26,16904.52734375,16916.80078125,16755.912109375,16817.53515625,16817.53515625,14882945045,29,29,26,28,29,16906.3046875,16439.6796875,16757.9765625,16795.091796875,16647.484375,394.5580357142857,18520.285,1
2022-12-22,28,16818.380859375,16866.673828125,16592.408203125,16830.341796875,16830.341796875,16441573050,26,29,29,26,28,16817.53515625,16906.3046875,16439.6796875,16757.9765625,16795.091796875,379.92466517857144,18486.346,1
2022-12-23,27,16829.64453125,16905.21875,16794.458984375,16796.953125,16796.953125,15329265213,28,26,29,29,26,16830.341796875,16817.53515625,16906.3046875,16439.6796875,16757.9765625,374.9995814732143,18488.457,1
2022-12-24,29,16796.9765625,16864.703125,16793.52734375,16847.755859375,16847.755859375,9744636213,27,28,26,29,29,16796.953125,16830.341796875,16817.53515625,16906.3046875,16439.6796875,373.2162388392857,18480.867,1
2022-12-25,29,16847.505859375,16860.5546875,16755.25390625,16841.986328125,16841.986328125,11656379938,29,27,28,26,29,16847.755859375,16796.953125,16830.341796875,16817.53515625,16906.3046875,369.7509765625,18499.633,1
2022-12-26,28,16842.25,16920.123046875,16812.369140625,16919.8046875,16919.8046875,11886957804,29,29,27,28,26,16841.986328125,16847.755859375,16796.953125,16830.341796875,16817.53515625,355.07840401785717,18563.209,1
2022-12-27,27,16919.291015625,16959.845703125,16642.072265625,16717.173828125,16717.173828125,15748580239,28,29,29,27,28,16919.8046875,16841.986328125,16847.755859375,16796.953125,16830.341796875,319.32491629464283,18473.434,1
2022-12-28,28,16716.400390625,16768.169921875,16497.556640625,16552.572265625,16552.572265625,17005713920,27,28,29,29,27,16717.173828125,16919.8046875,16841.986328125,16847.755859375,16796.953125,297.29603794642856,18309.734,1
